AC	ID	Organism	OrganismId	#Localizations_exp	#Localizations_nonExp	Localization
A6UX13	PURL_META3 	Methanococcus aeolicus                  	419665	0	1	Cytoplasm (By similarity).
Q8TIT6	PURL_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
Q46F25	PURL_METBF 	Methanosarcina barkeri                  	269797	0	1	Cytoplasm (By similarity).
Q58660	PURL_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q8TY09	PURL_METKA 	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (By similarity).
Q8PYK1	PURL_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
A5UMW9	PURL_METS3 	Methanobrevibacter smithii              	420247	0	1	Cytoplasm (By similarity).
A4YI68	PURL_METS5 	Metallosphaera sedula                   	399549	0	1	Cytoplasm (By similarity).
Q2NEB6	PURL_METST 	Methanosphaera stadtmanae               	339860	0	1	Cytoplasm (By similarity).
O27427	PURL_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
P26500	PURL_METTM 	Methanothermobacter marburgensis        	79929	0	1	Cytoplasm (By similarity).
A0B5C7	PURL_METTP 	Methanosaeta thermophila                	349307	0	1	Cytoplasm (By similarity).
Q3IQL3	PURL_NATPD 	Natronomonas pharaonis                  	348780	0	1	Cytoplasm (By similarity).
Q6KZR2	PURL_PICTO 	Picrophilus torridus                    	263820	0	1	Cytoplasm (By similarity).
Q9UXW6	PURL_PYRAB 	Pyrococcus abyssi                       	272844	0	1	Cytoplasm (By similarity).
Q8ZZJ7	PURL_PYRAE 	Pyrobaculum aerophilum                  	178306	0	1	Cytoplasm (By similarity).
A4WMV7	PURL_PYRAR 	Pyrobaculum arsenaticum                 	340102	0	1	Cytoplasm (By similarity).
A3MXD4	PURL_PYRCJ 	Pyrobaculum calidifontis                	410359	0	1	Cytoplasm (By similarity).
Q8U491	PURL_PYRFU 	Pyrococcus furiosus                     	186497	0	1	Cytoplasm (By similarity).
O59621	PURL_PYRHO 	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (By similarity).
A1RQQ2	PURL_PYRIL 	Pyrobaculum islandicum                  	384616	0	1	Cytoplasm (By similarity).
B1YBM5	PURL_PYRNV 	Pyrobaculum neutrophilum                	444157	0	1	Cytoplasm (By similarity).
Q4J8F8	PURL_SULAC 	Sulfolobus acidocaldarius               	330779	0	1	Cytoplasm (By similarity).
C3N674	PURL_SULIA 	Sulfolobus islandicus                   	427318	0	1	Cytoplasm (By similarity).
C4KHN7	PURL_SULIK 	Sulfolobus islandicus                   	426118	0	1	Cytoplasm (By similarity).
C3MQF3	PURL_SULIL 	Sulfolobus islandicus                   	429572	0	1	Cytoplasm (By similarity).
C3MW31	PURL_SULIM 	Sulfolobus islandicus                   	427317	0	1	Cytoplasm (By similarity).
C3NH14	PURL_SULIN 	Sulfolobus islandicus                   	419942	0	1	Cytoplasm (By similarity).
C3NEN0	PURL_SULIY 	Sulfolobus islandicus                   	439386	0	1	Cytoplasm (By similarity).
Q9UX24	PURL_SULSO 	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (By similarity).
Q970V6	PURL_SULTO 	Sulfolobus tokodaii                     	273063	0	1	Cytoplasm (By similarity).
Q9HJA4	PURL_THEAC 	Thermoplasma acidophilum                	273075	0	1	Cytoplasm (By similarity).
C5A4U6	PURL_THEGJ 	Thermococcus gammatolerans              	593117	0	1	Cytoplasm (By similarity).
Q5JFL7	PURL_THEKO 	Thermococcus kodakaraensis              	69014	0	1	Cytoplasm (By similarity).
C6A0I0	PURL_THESM 	Thermococcus sibiricus                  	604354	0	1	Cytoplasm (By similarity).
Q97BD5	PURL_THEVO 	Thermoplasma volcanium                  	273116	0	1	Cytoplasm (By similarity).
O29008	PURQ_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (By similarity).
Q9HNU2	PURQ_HALSA 	Halobacterium salinarum                 	64091	0	1	Cytoplasm (By similarity).
Q18FM4	PURQ_HALWD 	Haloquadratum walsbyi                   	362976	0	1	Cytoplasm (By similarity).
Q8TPF0	PURQ_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
Q468N4	PURQ_METBF 	Methanosarcina barkeri                  	269797	0	1	Cytoplasm (By similarity).
Q59042	PURQ_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q8TX85	PURQ_METKA 	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (By similarity).
A4G010	PURQ_METM5 	Methanococcus maripaludis               	402880	0	1	Cytoplasm (By similarity).
A6VIG8	PURQ_METM7 	Methanococcus maripaludis               	426368	0	1	Cytoplasm (By similarity).
Q8PTB0	PURQ_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
Q6M0U0	PURQ_METMP 	Methanococcus maripaludis               	267377	0	1	Cytoplasm (By similarity).
Q2NF29	PURQ_METST 	Methanosphaera stadtmanae               	339860	0	1	Cytoplasm (By similarity).
O26270	PURQ_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
A0B5C6	PURQ_METTP 	Methanosaeta thermophila                	349307	0	1	Cytoplasm (By similarity).
Q3IMR2	PURQ_NATPD 	Natronomonas pharaonis                  	348780	0	1	Cytoplasm (By similarity).
Q6L0V9	PURQ_PICTO 	Picrophilus torridus                    	263820	0	1	Cytoplasm (By similarity).
Q9UXW5	PURQ_PYRAB 	Pyrococcus abyssi                       	272844	0	1	Cytoplasm (By similarity).
Q8ZZJ9	PURQ_PYRAE 	Pyrobaculum aerophilum                  	178306	0	1	Cytoplasm (By similarity).
Q8U492	PURQ_PYRFU 	Pyrococcus furiosus                     	186497	0	1	Cytoplasm (By similarity).
O59619	PURQ_PYRHO 	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (By similarity).
Q9UX21	PURQ_SULSO 	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (By similarity).
Q9HIM1	PURQ_THEAC 	Thermoplasma acidophilum                	273075	0	1	Cytoplasm (By similarity).
Q5JFP4	PURQ_THEKO 	Thermococcus kodakaraensis              	69014	0	1	Cytoplasm (By similarity).
Q97C36	PURQ_THEVO 	Thermoplasma volcanium                  	273116	0	1	Cytoplasm (By similarity).
Q8TUB8	PYLS_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
Q6WRH6	PYLS_METBA 	Methanosarcina barkeri.                 	2208	1	0	Cytoplasm.
Q46E77	PYLS_METBF 	Methanosarcina barkeri                  	269797	1	0	Cytoplasm.
Q12UB6	PYLS_METBU 	Methanococcoides burtonii               	259564	0	1	Cytoplasm (By similarity).
Q8PWY1	PYLS_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
Q1L6A3	PYLS_METTE 	Methanosarcina thermophila.             	2210	0	1	Cytoplasm (By similarity).
Q9YFI6	PYRDA_AERPE	Aeropyrum pernix                        	272557	0	1	Cytoplasm (By similarity).
O29513	PYRDB_ARCFU	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (By similarity).
Q8TT55	PYRDB_METAC	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
Q58070	PYRDB_METJA	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q8TXU6	PYRDB_METKA	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (By similarity).
Q8PW56	PYRDB_METMA	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
O27281	PYRDB_METTH	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
Q9V0Y6	PYRDB_PYRAB	Pyrococcus abyssi                       	272844	0	1	Cytoplasm (By similarity).
Q8U0P6	PYRDB_PYRFU	Pyrococcus furiosus                     	186497	0	1	Cytoplasm (By similarity).
O59185	PYRDB_PYRHO	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (By similarity).
O08358	PYRDB_SULAC	Sulfolobus acidocaldarius               	330779	0	1	Cytoplasm (By similarity).
Q9UX04	PYRDB_SULSO	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (By similarity).
Q9HL35	PYRDB_THEAC	Thermoplasma acidophilum                	273075	0	1	Cytoplasm (By similarity).
Q5JHR7	PYRDB_THEKO	Thermococcus kodakaraensis              	69014	0	1	Cytoplasm (By similarity).
Q979G6	PYRDB_THEVO	Thermoplasma volcanium                  	273116	0	1	Cytoplasm (By similarity).
Q0W8E1	PYRDB_UNCMA	Uncultured methanogenic archaeon RC-I.  	351160	0	1	Cytoplasm (By similarity).
Q5UYF1	PYRD_HALMA 	Haloarcula marismortui                  	272569	0	1	Cell membrane; Peripheral membrane protein (By similarity).
B0R808	PYRD_HALS3 	Halobacterium salinarum                 	478009	0	1	Cell membrane; Peripheral membrane protein (By similarity).
Q9HMK2	PYRD_HALSA 	Halobacterium salinarum                 	64091	0	1	Cell membrane; Peripheral membrane protein (By similarity).
Q3IU78	PYRD_NATPD 	Natronomonas pharaonis                  	348780	0	1	Cell membrane; Peripheral membrane protein (By similarity).
Q9YF40	PYRH_AERPE 	Aeropyrum pernix                        	272557	0	1	Cytoplasm (By similarity).
O28237	PYRH_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (By similarity).
A0RXT6	PYRH_CENSY 	Cenarchaeum symbiosum                   	414004	0	1	Cytoplasm (By similarity).
B9LSL4	PYRH_HALLT 	Halorubrum lacusprofundi                	416348	0	1	Cytoplasm (By similarity).
Q5UXX3	PYRH_HALMA 	Haloarcula marismortui                  	272569	0	1	Cytoplasm (By similarity).
B0R6V9	PYRH_HALS3 	Halobacterium salinarum                 	478009	0	1	Cytoplasm (By similarity).
Q9HNN8	PYRH_HALSA 	Halobacterium salinarum                 	64091	0	1	Cytoplasm (By similarity).
Q18DR1	PYRH_HALWD 	Haloquadratum walsbyi                   	362976	0	1	Cytoplasm (By similarity).
A2BLM0	PYRH_HYPBU 	Hyperthermus butylicus                  	415426	0	1	Cytoplasm (By similarity).
A8AAG3	PYRH_IGNH4 	Ignicoccus hospitalis                   	453591	0	1	Cytoplasm (By similarity).
A6UV05	PYRH_META3 	Methanococcus aeolicus                  	419665	0	1	Cytoplasm (By similarity).
Q8TTQ4	PYRH_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
A7I6B7	PYRH_METB6 	Methanoregula boonei                    	456442	0	1	Cytoplasm (By similarity).
Q46EC7	PYRH_METBF 	Methanosarcina barkeri                  	269797	0	1	Cytoplasm (By similarity).
Q12VQ2	PYRH_METBU 	Methanococcoides burtonii               	259564	0	1	Cytoplasm (By similarity).
Q2FR36	PYRH_METHJ 	Methanospirillum hungatei JF-1          	323259	0	1	Cytoplasm (By similarity).
Q58656	PYRH_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q8TXB4	PYRH_METKA 	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (By similarity).
A2SS66	PYRH_METLZ 	Methanocorpusculum labreanum            	410358	0	1	Cytoplasm (By similarity).
A4FZB7	PYRH_METM5 	Methanococcus maripaludis               	402880	0	1	Cytoplasm (By similarity).
A9A6R4	PYRH_METM6 	Methanococcus maripaludis               	444158	0	1	Cytoplasm (By similarity).
A6VJ20	PYRH_METM7 	Methanococcus maripaludis               	426368	0	1	Cytoplasm (By similarity).
P59010	PYRH_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
A3CUB9	PYRH_METMJ 	Methanoculleus marisnigri               	368407	0	1	Cytoplasm (By similarity).
Q6M086	PYRH_METMP 	Methanococcus maripaludis               	267377	0	1	Cytoplasm (By similarity).
A5UK92	PYRH_METS3 	Methanobrevibacter smithii              	420247	0	1	Cytoplasm (By similarity).
A4YHL6	PYRH_METS5 	Metallosphaera sedula                   	399549	0	1	Cytoplasm (By similarity).
Q2NEL4	PYRH_METST 	Methanosphaera stadtmanae               	339860	0	1	Cytoplasm (By similarity).
O26965	PYRH_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
A0B8B0	PYRH_METTP 	Methanosaeta thermophila                	349307	0	1	Cytoplasm (By similarity).
A6URZ7	PYRH_METVS 	Methanococcus vannielii                 	406327	0	1	Cytoplasm (By similarity).
Q3IRL6	PYRH_NATPD 	Natronomonas pharaonis                  	348780	0	1	Cytoplasm (By similarity).
Q6KZ23	PYRH_PICTO 	Picrophilus torridus                    	263820	0	1	Cytoplasm (By similarity).
Q9V0P2	PYRH_PYRAB 	Pyrococcus abyssi                       	272844	0	1	Cytoplasm (By similarity).
Q8ZTP3	PYRH_PYRAE 	Pyrobaculum aerophilum                  	178306	0	1	Cytoplasm (By similarity).
A4WLE9	PYRH_PYRAR 	Pyrobaculum arsenaticum                 	340102	0	1	Cytoplasm (By similarity).
A3MX54	PYRH_PYRCJ 	Pyrobaculum calidifontis                	410359	0	1	Cytoplasm (By similarity).
Q8U122	PYRH_PYRFU 	Pyrococcus furiosus                     	186497	0	1	Cytoplasm (By similarity).
O50116	PYRH_PYRHO 	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (By similarity).
A1RRX6	PYRH_PYRIL 	Pyrobaculum islandicum                  	384616	0	1	Cytoplasm (By similarity).
B1Y9Y6	PYRH_PYRNV 	Pyrobaculum neutrophilum                	444157	0	1	Cytoplasm (By similarity).
A3DMM2	PYRH_STAMF 	Staphylothermus marinus                 	399550	0	1	Cytoplasm (By similarity).
Q4J986	PYRH_SULAC 	Sulfolobus acidocaldarius               	330779	0	1	Cytoplasm (By similarity).
C3N5A5	PYRH_SULIA 	Sulfolobus islandicus                   	427318	0	1	Cytoplasm (By similarity).
C4KGX1	PYRH_SULIK 	Sulfolobus islandicus                   	426118	0	1	Cytoplasm (By similarity).
C3MPM9	PYRH_SULIL 	Sulfolobus islandicus                   	429572	0	1	Cytoplasm (By similarity).
C3MYM3	PYRH_SULIM 	Sulfolobus islandicus                   	427317	0	1	Cytoplasm (By similarity).
C3NHU4	PYRH_SULIN 	Sulfolobus islandicus                   	419942	0	1	Cytoplasm (By similarity).
C3NDV9	PYRH_SULIY 	Sulfolobus islandicus                   	439386	0	1	Cytoplasm (By similarity).
Q97ZE2	PYRH_SULSO 	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (By similarity).
Q971S6	PYRH_SULTO 	Sulfolobus tokodaii                     	273063	0	1	Cytoplasm (By similarity).
Q9HKV7	PYRH_THEAC 	Thermoplasma acidophilum                	273075	0	1	Cytoplasm (By similarity).
C5A3Q1	PYRH_THEGJ 	Thermococcus gammatolerans              	593117	0	1	Cytoplasm (By similarity).
Q5JFZ7	PYRH_THEKO 	Thermococcus kodakaraensis              	69014	0	1	Cytoplasm (By similarity).
B6YXE5	PYRH_THEON 	Thermococcus onnurineus                 	523850	0	1	Cytoplasm (By similarity).
A1RXJ4	PYRH_THEPD 	Thermofilum pendens                     	368408	0	1	Cytoplasm (By similarity).
C6A429	PYRH_THESM 	Thermococcus sibiricus                  	604354	0	1	Cytoplasm (By similarity).
Q97B72	PYRH_THEVO 	Thermoplasma volcanium                  	273116	0	1	Cytoplasm (By similarity).
Q0W3K6	PYRH_UNCMA 	Uncultured methanogenic archaeon RC-I.  	351160	0	1	Cytoplasm (By similarity).
P98004	QOX1_SULAC 	Sulfolobus acidocaldarius               	330779	1	0	Cell membrane; Multi-pass membrane protein.
P39479	QOX2_SULAC 	Sulfolobus acidocaldarius               	330779	1	0	Cell membrane; Single-pass membrane protein.
P39481	QOXM_SULAC 	Sulfolobus acidocaldarius               	330779	1	0	Cell membrane; Multi-pass membrane protein.
Q8TUM4	RF11_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (Potential).
Q8TS00	RF12_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (Potential).
Q9YAF1	RF1_AERPE  	Aeropyrum pernix                        	272557	0	1	Cytoplasm (Potential).
O29048	RF1_ARCFU  	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (Potential).
B9LRF2	RF1_HALLT  	Halorubrum lacusprofundi                	416348	0	1	Cytoplasm (Potential).
Q5UXY3	RF1_HALMA  	Haloarcula marismortui                  	272569	0	1	Cytoplasm (Potential).
B0R748	RF1_HALS3  	Halobacterium salinarum                 	478009	0	1	Cytoplasm (Potential).
Q9HNF0	RF1_HALSA  	Halobacterium salinarum                 	64091	0	1	Cytoplasm (Potential).
Q18FC0	RF1_HALWD  	Haloquadratum walsbyi                   	362976	0	1	Cytoplasm (Potential).
Q12V98	RF1_METBU  	Methanococcoides burtonii               	259564	0	1	Cytoplasm (Potential).
Q58239	RF1_METJA  	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (Potential).
Q8TXB5	RF1_METKA  	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (Potential).
A4FX39	RF1_METM5  	Methanococcus maripaludis               	402880	0	1	Cytoplasm (Potential).
A9AAH5	RF1_METM6  	Methanococcus maripaludis               	444158	0	1	Cytoplasm (Potential).
A6VG76	RF1_METM7  	Methanococcus maripaludis               	426368	0	1	Cytoplasm (Potential).
Q8PX75	RF1_METMA  	Methanosarcina mazei                    	192952	0	1	Cytoplasm (Potential).
P61731	RF1_METMP  	Methanococcus maripaludis               	267377	0	1	Cytoplasm (Potential).
A5ULL8	RF1_METS3  	Methanobrevibacter smithii              	420247	0	1	Cytoplasm (Potential).
Q2NEL3	RF1_METST  	Methanosphaera stadtmanae               	339860	0	1	Cytoplasm (Potential).
O26964	RF1_METTH  	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (Potential).
A6UPD8	RF1_METVS  	Methanococcus vannielii                 	406327	0	1	Cytoplasm (Potential).
Q6KZ24	RF1_PICTO  	Picrophilus torridus                    	263820	0	1	Cytoplasm (Potential).
Q9V151	RF1_PYRAB  	Pyrococcus abyssi                       	272844	0	1	Cytoplasm (Potential).
Q8ZU81	RF1_PYRAE  	Pyrobaculum aerophilum                  	178306	0	1	Cytoplasm (Potential).
Q8U0J4	RF1_PYRFU  	Pyrococcus furiosus                     	186497	0	1	Cytoplasm (Potential).
O59264	RF1_PYRHO  	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (Potential).
Q97W96	RF1_SULSO  	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (Potential).
Q9HKR2	RF1_THEAC  	Thermoplasma acidophilum                	273075	0	1	Cytoplasm (Potential).
Q5JGK6	RF1_THEKO  	Thermococcus kodakaraensis              	69014	0	1	Cytoplasm (Potential).
B6YU52	RF1_THEON  	Thermococcus onnurineus                 	523850	0	1	Cytoplasm (Potential).
C5ZZZ5	RF1_THESM  	Thermococcus sibiricus                  	604354	0	1	Cytoplasm (Potential).
P58227	RF1_THEVO  	Thermoplasma volcanium                  	273116	0	1	Cytoplasm (Potential).
Q8U308	RIDA_PYRFU 	Pyrococcus furiosus                     	186497	0	1	Cytoplasm (Probable).
Q9UX97	RL14_SULSO 	Sulfolobus solfataricus                 	273057	1	0	Cytoplasm.
P55858	RL7A_SULSO 	Sulfolobus solfataricus                 	273057	1	0	Cytoplasm.
O28228	RLME_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (By similarity).
A0RV28	RLME_CENSY 	Cenarchaeum symbiosum                   	414004	0	1	Cytoplasm (By similarity).
B9LSX2	RLME_HALLT 	Halorubrum lacusprofundi                	416348	0	1	Cytoplasm (By similarity).
Q5UYP9	RLME_HALMA 	Haloarcula marismortui                  	272569	0	1	Cytoplasm (By similarity).
B0R7G3	RLME_HALS3 	Halobacterium salinarum                 	478009	0	1	Cytoplasm (By similarity).
Q9HN40	RLME_HALSA 	Halobacterium salinarum                 	64091	0	1	Cytoplasm (By similarity).
Q18E61	RLME_HALWD 	Haloquadratum walsbyi                   	362976	0	1	Cytoplasm (By similarity).
A6UUK5	RLME_META3 	Methanococcus aeolicus                  	419665	0	1	Cytoplasm (By similarity).
Q8TR92	RLME_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
A7I848	RLME_METB6 	Methanoregula boonei                    	456442	0	1	Cytoplasm (By similarity).
Q466Q1	RLME_METBF 	Methanosarcina barkeri                  	269797	0	1	Cytoplasm (By similarity).
Q12WR3	RLME_METBU 	Methanococcoides burtonii               	259564	0	1	Cytoplasm (By similarity).
Q2FNX6	RLME_METHJ 	Methanospirillum hungatei JF-1          	323259	0	1	Cytoplasm (By similarity).
Q58771	RLME_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
A2SSW7	RLME_METLZ 	Methanocorpusculum labreanum            	410358	0	1	Cytoplasm (By similarity).
A4FYM2	RLME_METM5 	Methanococcus maripaludis               	402880	0	1	Cytoplasm (By similarity).
A9A6B9	RLME_METM6 	Methanococcus maripaludis               	444158	0	1	Cytoplasm (By similarity).
A6VJR0	RLME_METM7 	Methanococcus maripaludis               	426368	0	1	Cytoplasm (By similarity).
Q8PUP4	RLME_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
A3CVJ3	RLME_METMJ 	Methanoculleus marisnigri               	368407	0	1	Cytoplasm (By similarity).
Q6LZL8	RLME_METMP 	Methanococcus maripaludis               	267377	0	1	Cytoplasm (By similarity).
B8GG79	RLME_METPE 	Methanosphaerula palustris              	521011	0	1	Cytoplasm (By similarity).
A5UKI5	RLME_METS3 	Methanobrevibacter smithii              	420247	0	1	Cytoplasm (By similarity).
Q2NHD6	RLME_METST 	Methanosphaera stadtmanae               	339860	0	1	Cytoplasm (By similarity).
O27801	RLME_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (By similarity).
A0B8A1	RLME_METTP 	Methanosaeta thermophila                	349307	0	1	Cytoplasm (By similarity).
A6USA0	RLME_METVS 	Methanococcus vannielii                 	406327	0	1	Cytoplasm (By similarity).
Q3IT24	RLME_NATPD 	Natronomonas pharaonis                  	348780	0	1	Cytoplasm (By similarity).
A9A3M9	RLME_NITMS 	Nitrosopumilus maritimus                	436308	0	1	Cytoplasm (By similarity).
Q6L1E2	RLME_PICTO 	Picrophilus torridus                    	263820	0	1	Cytoplasm (By similarity).
Q9HIH4	RLME_THEAC 	Thermoplasma acidophilum                	273075	0	1	Cytoplasm (By similarity).
Q97C13	RLME_THEVO 	Thermoplasma volcanium                  	273116	0	1	Cytoplasm (By similarity).
Q0W1F9	RLME_UNCMA 	Uncultured methanogenic archaeon RC-I.  	351160	0	1	Cytoplasm (By similarity).
A7IAU3	RLMH_METB6 	Methanoregula boonei                    	456442	0	1	Cytoplasm (Potential).
Q2FTV8	RLMH_METHJ 	Methanospirillum hungatei JF-1          	323259	0	1	Cytoplasm (Potential).
A2SR93	RLMH_METLZ 	Methanocorpusculum labreanum            	410358	0	1	Cytoplasm (Potential).
A4FXE1	RLMH_METM5 	Methanococcus maripaludis               	402880	0	1	Cytoplasm (Potential).
A9AAR1	RLMH_METM6 	Methanococcus maripaludis               	444158	0	1	Cytoplasm (Potential).
A6VFY5	RLMH_METM7 	Methanococcus maripaludis               	426368	0	1	Cytoplasm (Potential).
Q6LYF4	RLMH_METMP 	Methanococcus maripaludis               	267377	0	1	Cytoplasm (Potential).
A0B913	RLMH_METTP 	Methanosaeta thermophila                	349307	0	1	Cytoplasm (Potential).
A6UP47	RLMH_METVS 	Methanococcus vannielii                 	406327	0	1	Cytoplasm (Potential).
A9A3L9	RLMN_NITMS 	Nitrosopumilus maritimus                	436308	0	1	Cytoplasm (Potential).
Q9YET5	RNH2_AERPE 	Aeropyrum pernix                        	272557	0	1	Cytoplasm (Potential).
O29634	RNH2_ARCFU 	Archaeoglobus fulgidus                  	224325	0	1	Cytoplasm (Potential).
A8MAH5	RNH2_CALMQ 	Caldivirga maquilingensis               	397948	0	1	Cytoplasm (Potential).
A0RV25	RNH2_CENSY 	Cenarchaeum symbiosum                   	414004	0	1	Cytoplasm (Potential).
Q5UXT4	RNH2_HALMA 	Haloarcula marismortui                  	272569	0	1	Cytoplasm (Potential).
B0R6T4	RNH2_HALS3 	Halobacterium salinarum                 	478009	0	1	Cytoplasm (Potential).
Q9HNR3	RNH2_HALSA 	Halobacterium salinarum                 	64091	0	1	Cytoplasm (Potential).
A2BL34	RNH2_HYPBU 	Hyperthermus butylicus                  	415426	0	1	Cytoplasm (Potential).
A6UUM1	RNH2_META3 	Methanococcus aeolicus                  	419665	0	1	Cytoplasm (Potential).
Q8TPF4	RNH2_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (Potential).
A7I9P7	RNH2_METB6 	Methanoregula boonei                    	456442	0	1	Cytoplasm (Potential).
Q468N6	RNH2_METBF 	Methanosarcina barkeri                  	269797	0	1	Cytoplasm (Potential).
Q12YN9	RNH2_METBU 	Methanococcoides burtonii               	259564	0	1	Cytoplasm (Potential).
Q2FP80	RNH2_METHJ 	Methanospirillum hungatei JF-1          	323259	0	1	Cytoplasm (Potential).
Q57599	RNH2_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (Potential).
Q8TYV5	RNH2_METKA 	Methanopyrus kandleri                   	190192	0	1	Cytoplasm (Potential).
A2STJ6	RNH2_METLZ 	Methanocorpusculum labreanum            	410358	0	1	Cytoplasm (Potential).
A4FWE5	RNH2_METM5 	Methanococcus maripaludis               	402880	0	1	Cytoplasm (Potential).
A9A9T9	RNH2_METM6 	Methanococcus maripaludis               	444158	0	1	Cytoplasm (Potential).
A6VGW0	RNH2_METM7 	Methanococcus maripaludis               	426368	0	1	Cytoplasm (Potential).
Q8PTA3	RNH2_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (Potential).
Q6LXH7	RNH2_METMP 	Methanococcus maripaludis               	267377	0	1	Cytoplasm (Potential).
A5ULV6	RNH2_METS3 	Methanobrevibacter smithii              	420247	0	1	Cytoplasm (Potential).
Q2NEI6	RNH2_METST 	Methanosphaera stadtmanae               	339860	0	1	Cytoplasm (Potential).
O27102	RNH2_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Cytoplasm (Potential).
A0B796	RNH2_METTP 	Methanosaeta thermophila                	349307	0	1	Cytoplasm (Potential).
A6UQ18	RNH2_METVS 	Methanococcus vannielii                 	406327	0	1	Cytoplasm (Potential).
Q74MH3	RNH2_NANEQ 	Nanoarchaeum equitans                   	228908	0	1	Cytoplasm (Potential).
Q3IRF6	RNH2_NATPD 	Natronomonas pharaonis                  	348780	0	1	Cytoplasm (Potential).
Q6KZK4	RNH2_PICTO 	Picrophilus torridus                    	263820	0	1	Cytoplasm (Potential).
Q9V1A9	RNH2_PYRAB 	Pyrococcus abyssi                       	272844	0	1	Cytoplasm (Potential).
Q8ZXL6	RNH2_PYRAE 	Pyrobaculum aerophilum                  	178306	0	1	Cytoplasm (Potential).
A4WHQ7	RNH2_PYRAR 	Pyrobaculum arsenaticum                 	340102	0	1	Cytoplasm (Potential).
Q8U036	RNH2_PYRFU 	Pyrococcus furiosus                     	186497	0	1	Cytoplasm (Potential).
O59351	RNH2_PYRHO 	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (Potential).
A1RU36	RNH2_PYRIL 	Pyrobaculum islandicum                  	384616	0	1	Cytoplasm (Potential).
B1YB67	RNH2_PYRNV 	Pyrobaculum neutrophilum                	444157	0	1	Cytoplasm (Potential).
Q4JA60	RNH2_SULAC 	Sulfolobus acidocaldarius               	330779	0	1	Cytoplasm (Potential).
Q97W56	RNH2_SULSO 	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (Potential).
Q974Z3	RNH2_SULTO 	Sulfolobus tokodaii                     	273063	0	1	Cytoplasm (Potential).
P57673	RNH2_THEAC 	Thermoplasma acidophilum                	273075	0	1	Cytoplasm (Potential).
